id,date,value,factor,pct_change,method,return
1128,1964-12-01,703.92,1.0257273553812933,2.5727355381293338,Buy the Dip,58054.28182830528
1129,1965-01-01,722.03,1.00732656537817,0.7326565378170002,No Compounding,22444.081270861323
1129,1965-01-01,722.03,1.00732656537817,0.7326565378170002,Compounding,49557.42165945707
1129,1965-01-01,722.03,1.00732656537817,0.7326565378170002,Buy the Dip,57072.3942048541
1130,1965-02-01,727.32,0.9977176483528569,-0.22823516471430771,No Compounding,22494.775339602926
1130,1965-02-01,727.32,0.9977176483528569,-0.22823516471430771,Compounding,49669.356173948545
1130,1965-02-01,727.32,0.9977176483528569,-0.22823516471430771,Buy the Dip,57620.39174505856
1131,1965-03-01,725.66,1.0099082214811346,0.9908221481134571,No Compounding,22283.025108177386
1131,1965-03-01,725.66,1.0099082214811346,0.9908221481134571,Compounding,49201.80326418133
1131,1965-03-01,725.66,1.0099082214811346,0.9908221481134571,Buy the Dip,56947.721242622494
1132,1965-04-01,732.85,1.014887084669441,1.4887084669441109,No Compounding,21358.12239885379
1132,1965-04-01,732.85,1.014887084669441,1.4887084669441109,Compounding,47159.58139700999
1132,1965-04-01,732.85,1.014887084669441,1.4887084669441109,Buy the Dip,55124.81939937168
1133,1965-05-01,743.76,0.9464746692481446,-5.352533075185539,No Compounding,21317.09153490373
1133,1965-05-01,743.76,0.9464746692481446,-5.352533075185539,Compounding,47068.98362197588
1133,1965-05-01,743.76,0.9464746692481446,-5.352533075185539,Buy the Dip,55837.99100535755
1134,1965-06-01,703.95,0.9984800056822217,-0.15199943177782727,No Compounding,22968.960863697703
1134,1965-06-01,703.95,0.9984800056822217,-0.15199943177782727,Compounding,50716.37661906181
1134,1965-06-01,703.95,0.9984800056822217,-0.15199943177782727,Buy the Dip,56944.551591040334
1135,1965-07-01,702.88,1.0186091509219213,1.860915092192128,No Compounding,23278.653539722287
1135,1965-07-01,702.88,1.0186091509219213,1.860915092192128,Compounding,51400.19033125512
1135,1965-07-01,702.88,1.0186091509219213,1.860915092192128,Buy the Dip,57624.6179471681
1136,1965-08-01,715.96,1.0334096876920498,3.340968769204977,No Compounding,22774.875691379406
1136,1965-08-01,715.96,1.0334096876920498,3.340968769204977,Compounding,50287.82886046349
1136,1965-08-01,715.96,1.0334096876920498,3.340968769204977,Buy the Dip,57426.690815037706
1137,1965-09-01,739.88,1.0192598799805375,1.9259879980537464,No Compounding,21801.778666810835
1137,1965-09-01,739.88,1.0192598799805375,1.9259879980537464,Compounding,48139.192033670486
1137,1965-09-01,739.88,1.0192598799805375,1.9259879980537464,Buy the Dip,56809.66530704399
1138,1965-10-01,754.13,1.0083142163817909,0.8314216381790862,No Compounding,20755.572646625915
1138,1965-10-01,754.13,1.0083142163817909,0.8314216381790862,Compounding,45829.12764478954
1138,1965-10-01,754.13,1.0083142163817909,0.8314216381790862,Buy the Dip,55125.17158288081
1139,1965-11-01,760.4,0.9923198316675433,-0.768016833245666,No Compounding,21541.55707522357
1139,1965-11-01,760.4,0.9923198316675433,-0.768016833245666,Compounding,47564.61243811682
1139,1965-11-01,760.4,0.9923198316675433,-0.768016833245666,Buy the Dip,58842.13042556684
1140,1965-12-01,754.56,1.0173346055979644,1.7334605597964403,No Compounding,22231.631679389313
1140,1965-12-01,754.56,1.0173346055979644,1.7334605597964403,Compounding,49088.3245349681
1140,1965-12-01,754.56,1.0173346055979644,1.7334605597964403,Buy the Dip,60260.718556667576
1141,1966-01-01,767.64,0.9870381949872337,-1.2961805012766336,No Compounding,21973.841905059664
1141,1966-01-01,767.64,0.9870381949872337,-1.2961805012766336,Compounding,48519.11448837391
1141,1966-01-01,767.64,0.9870381949872337,-1.2961805012766336,Buy the Dip,60594.44060624787
1142,1966-02-01,757.69,0.9559054494582216,-4.409455054177835,No Compounding,22181.499029946284
1142,1966-02-01,757.69,0.9559054494582216,-4.409455054177835,Compounding,48977.62965655579
1142,1966-02-01,757.69,0.9559054494582216,-4.409455054177835,Buy the Dip,60374.234345329984
1143,1966-03-01,724.28,1.0242171535870106,2.42171535870106,No Compounding,23385.84525321699
1143,1966-03-01,724.28,1.0242171535870106,2.42171535870106,Compounding,51636.87388626226
